deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,1,10k,0.5,small,2026-05-08T21:23:47.859542+00:00,41,0,0.0,42.46,54.83,56.12,43.43,0.1367
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,2,10k,0.5,medium,2026-05-08T21:29:52.750988+00:00,34,0,0.0,42.51,55.39,67.6,44.74,0.1133
