deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,1,10k,0.5,small,2026-05-08T21:23:45.357358+00:00,32,0,0.0,78.86,103.8,1248.14,133.27,0.1067
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,2,10k,0.5,medium,2026-05-08T21:29:46.699604+00:00,35,0,0.0,76.83,100.01,113.85,79.94,0.1167
