deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,1,10k,0.5,small,2026-05-08T21:23:57.367765+00:00,37,0,0.0,7.4,12.56,14.14,8.09,0.1233
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,2,10k,0.5,medium,2026-05-08T21:29:59.467708+00:00,36,0,0.0,7.26,9.11,10.05,7.64,0.12
