deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps,image_size_mb,state_management,cold_start_rate_pct,cold_start_duration_ms,alb_lcu_cost_usd,estimated_cost_usd,invocation_frequency_numeric,duration_tier_numeric,log_invocations,sustained_load,arch_enterprise-microservice,arch_event-driven-api,arch_ml-inference,platform_is_lambda
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,1,1k,0.5,small,2026-05-08 21:52:38.940680+00:00,65,0,0.0,52.43,65.82,70.43,52.07,0.012,50,0,0.0,0.0,2.96e-06,0.148113,1000,500,6.907755278982137,0.5,0,0,0,0
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,1,1k,0.5,small,2026-05-08 21:52:39.441010+00:00,56,0,0.0,59.55,67.87,79.2,60.27,0.0104,250,0,0.0,0.0,2.96e-06,0.148113,1000,500,6.907755278982137,0.5,0,0,0,0
svc-ml-inference-512mb-slim-container,ml-inference,fargate,512,slim,1,1k,0.5,small,2026-05-08 21:52:39.941347+00:00,62,0,0.0,86.0,119.55,341.68,98.33,0.0115,50,0,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,0,0,1,0
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,1,1k,0.5,small,2026-05-08 21:52:41.442414+00:00,63,0,0.0,71.58,80.74,114.24,73.54,0.0117,250,0,0.0,0.0,2.96e-06,0.148113,1000,500,6.907755278982137,0.5,0,0,1,0
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,1,1k,0.5,small,2026-05-08 21:52:41.942755+00:00,65,0,0.0,9.13,13.18,23.49,9.82,0.012,50,1,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,1,0,0,0
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,1,1k,0.5,small,2026-05-08 21:52:42.443110+00:00,64,0,0.0,6.1,10.77,12.14,6.68,0.0119,250,1,0.0,0.0,2.96e-06,0.03703,1000,500,6.907755278982137,0.5,1,0,0,0
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,1,1k,0.5,small,2026-05-08 21:52:43.443839+00:00,66,0,0.0,7.57,9.92,18.64,8.17,0.0122,250,1,0.0,0.0,2.96e-06,0.148113,1000,500,6.907755278982137,0.5,1,0,0,0
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,2,1k,0.5,medium,2026-05-08 23:37:39.174182+00:00,67,0,0.0,143.57,159.8,1906.21,220.35,0.0124,250,0,0.0,0.0,0.0,0.000506,1000,2000,6.907755278982137,2.0,0,0,1,1
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,2,1k,0.5,medium,2026-05-08 23:37:39.701591+00:00,66,0,0.0,164.32,195.26,219.88,168.29,0.0122,250,0,0.0,0.0,2.91e-06,0.148113,1000,2000,6.907755278982137,2.0,0,0,0,0
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,2,1k,0.5,medium,2026-05-08 23:37:40.737325+00:00,61,0,0.0,135.42,164.82,851.31,164.86,0.0113,50,0,1.6393,1328.14,0.0,9.6e-05,1000,2000,6.907755278982137,2.0,0,0,0,1
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,2,1k,0.5,medium,2026-05-08 23:37:42.068891+00:00,61,0,0.0,137.58,159.76,870.0,165.26,0.0113,250,0,1.6393,1401.67,0.0,9.6e-05,1000,2000,6.907755278982137,2.0,0,0,0,1
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,2,1k,0.5,medium,2026-05-08 23:37:43.637753+00:00,59,0,0.0,70.65,86.72,93.69,71.87,0.0109,50,0,0.0,0.0,2.91e-06,0.03703,1000,2000,6.907755278982137,2.0,0,1,0,0
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,2,1k,0.5,medium,2026-05-08 23:37:51.666794+00:00,67,0,0.0,67.32,77.28,91.92,67.11,0.0124,250,0,0.0,0.0,2.91e-06,0.03703,1000,2000,6.907755278982137,2.0,0,1,0,0
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,2,1k,0.5,medium,2026-05-08 23:37:54.043021+00:00,61,0,0.0,58.2,76.35,92.29,60.06,0.0113,250,0,0.0,0.0,2.91e-06,0.148113,1000,2000,6.907755278982137,2.0,0,1,0,0
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,2,1k,0.5,medium,2026-05-08 23:38:00.473300+00:00,63,0,0.0,263.63,312.55,534.07,277.13,0.0117,50,0,0.0,0.0,2.89e-06,0.03703,1000,2000,6.907755278982137,2.0,0,0,0,0
svc-event-driven-api-2gb-slim-container,event-driven-api,fargate,2048,slim,2,1k,0.5,medium,2026-05-08 23:38:03.896117+00:00,65,0,0.0,52.59,63.46,69.8,53.44,0.012,50,0,0.0,0.0,2.89e-06,0.148113,1000,2000,6.907755278982137,2.0,0,1,0,0
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,2,1k,0.5,medium,2026-05-08 23:38:06.856210+00:00,63,0,0.0,111.56,131.0,486.26,127.63,0.0117,50,0,1.5873,600.77,0.0,8e-05,1000,2000,6.907755278982137,2.0,0,1,0,1
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,2,1k,0.5,medium,2026-05-08 23:38:08.971227+00:00,59,0,0.0,128.5,143.89,156.4,129.81,0.0109,50,0,0.0,0.0,2.89e-06,0.148113,1000,2000,6.907755278982137,2.0,0,0,0,0
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,2,1k,0.5,medium,2026-05-08 23:38:13.251326+00:00,63,0,0.0,6.25,9.48,12.05,6.75,0.0117,250,1,0.0,0.0,2.89e-06,0.03703,1000,2000,6.907755278982137,2.0,1,0,0,0
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,2,1k,0.5,medium,2026-05-08 23:38:15.559931+00:00,60,0,0.0,53.65,69.09,430.1,69.1,0.0111,250,1,1.6667,478.08,0.0,0.00015,1000,2000,6.907755278982137,2.0,1,0,0,1
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,2,1k,0.5,medium,2026-05-08 23:38:16.746254+00:00,61,0,0.0,110.86,123.44,787.51,138.04,0.0113,250,0,1.6393,1349.96,0.0,0.000293,1000,2000,6.907755278982137,2.0,0,0,0,1
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,2,1k,0.5,medium,2026-05-08 23:38:18.214525+00:00,60,0,0.0,142.03,175.93,5707.06,328.93,0.0111,50,0,1.6667,4562.18,0.0,0.00067,1000,2000,6.907755278982137,2.0,0,0,1,1
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,2,1k,0.5,medium,2026-05-08 23:38:22.762942+00:00,68,0,0.0,109.59,129.26,785.73,137.14,0.0126,50,0,1.4706,1408.78,0.0,0.000324,1000,2000,6.907755278982137,2.0,0,0,0,1
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,2,1k,0.5,medium,2026-05-08 23:38:27.713453+00:00,67,0,0.0,53.91,74.94,428.07,68.16,0.0124,50,1,1.4925,401.38,0.0,5.1e-05,1000,2000,6.907755278982137,2.0,1,0,0,1
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,2,1k,0.5,medium,2026-05-08 23:38:30.039624+00:00,69,0,0.0,7.62,11.18,32.81,8.75,0.0128,250,1,0.0,0.0,2.89e-06,0.148113,1000,2000,6.907755278982137,2.0,1,0,0,0
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,2,1k,0.5,medium,2026-05-08 23:38:36.707454+00:00,62,0,0.0,8.69,14.94,41.19,10.33,0.0115,50,1,0.0,0.0,2.89e-06,0.03703,1000,2000,6.907755278982137,2.0,1,0,0,0
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,2,1k,0.5,medium,2026-05-08 23:38:39.811017+00:00,62,0,0.0,95.86,110.1,518.74,111.61,0.0115,250,0,1.6129,704.16,0.0,0.000243,1000,2000,6.907755278982137,2.0,0,1,0,1
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,2,1k,0.5,medium,2026-05-08 23:38:43.261757+00:00,71,0,0.0,112.33,140.37,652.32,132.29,0.0131,250,0,0.0,0.0,0.0,9.2e-05,1000,2000,6.907755278982137,2.0,0,1,0,1
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,2,1k,0.5,medium,2026-05-08 23:38:44.968213+00:00,67,0,0.0,541.99,557.52,578.06,543.46,0.0124,250,0,0.0,0.0,2.89e-06,0.148113,1000,2000,6.907755278982137,2.0,0,0,1,0
svc-ml-inference-512mb-slim-container,ml-inference,fargate,512,slim,2,1k,0.5,medium,2026-05-08 23:39:00.066137+00:00,59,0,0.0,1032.09,1135.21,1650.84,1059.89,0.0109,50,0,0.0,0.0,2.85e-06,0.03703,1000,2000,6.907755278982137,2.0,0,0,1,0
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,2,1k,0.5,medium,2026-05-08 23:39:00.489686+00:00,60,0,0.0,351.63,414.72,3142.04,469.24,0.0111,250,0,1.6667,4813.27,0.0,0.000247,1000,2000,6.907755278982137,2.0,0,0,1,1
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,2,1k,0.5,medium,2026-05-08 23:39:04.995560+00:00,58,0,0.0,262.73,311.49,330.06,259.68,0.0107,250,0,0.0,0.0,2.85e-06,0.03703,1000,2000,6.907755278982137,2.0,0,0,0,0
